City,Region,Date,MHW (ft),MSL (ft),MLW (ft)
Boston,East,1/1/1998,10.252,5.478,0.475
Boston,East,2/1/1998,10.432,5.698,0.701
Boston,East,3/1/1998,10.229,5.402,0.268
Boston,East,4/1/1998,10.363,5.576,0.488
Boston,East,5/1/1998,10.37,5.635,0.655
Boston,East,6/1/1998,10.219,5.53,0.616
Boston,East,7/1/1998,10.071,5.442,0.58
Boston,East,8/1/1998,9.835,5.229,0.406
Boston,East,9/1/1998,10.101,5.416,0.481
Boston,East,10/1/1998,9.878,5.238,0.379
Boston,East,11/1/1998,9.92,5.163,0.215
Boston,East,12/1/1998,9.828,5.051,0.048
Boston,East,1/1/1999,9.743,4.946,-0.077
Boston,East,2/1/1999,10.035,5.324,0.393
Boston,East,3/1/1999,9.989,5.199,0.101
Boston,East,4/1/1999,10.094,5.383,0.416
Boston,East,5/1/1999,9.923,5.274,0.373
Boston,East,6/1/1999,9.825,5.196,0.314
Boston,East,7/1/1999,10.015,5.353,0.406
Boston,East,8/1/1999,10.104,5.406,0.455
Boston,East,9/1/1999,10.13,5.353,0.32
Boston,East,10/1/1999,9.989,5.219,0.225
Boston,East,11/1/1999,9.861,5.101,0.101
Boston,East,12/1/1999,9.871,5.101,0.133
Boston,East,1/1/2000,9.841,5.074,0.133
Boston,East,2/1/2000,9.549,4.782,-0.237
Boston,East,3/1/2000,9.874,5.232,0.334
Boston,East,4/1/2000,10.025,5.297,0.284
Boston,East,5/1/2000,10.183,5.455,0.455
Boston,East,6/1/2000,10.137,5.386,0.379
Boston,East,7/1/2000,10.271,5.471,0.379
Boston,East,8/1/2000,10.17,5.389,0.327
Boston,East,9/1/2000,9.933,5.271,0.37
Boston,East,10/1/2000,9.838,5.179,0.343
Boston,East,11/1/2000,10.025,5.435,0.662
Boston,East,12/1/2000,9.448,4.904,0.17
Boston,East,1/1/2001,9.818,5.156,0.301
Boston,East,2/1/2001,9.543,4.835,-0.067
Boston,East,3/1/2001,10.071,5.35,0.402
Boston,East,4/1/2001,9.887,5.166,0.202
Boston,East,5/1/2001,9.966,5.265,0.33
Boston,East,6/1/2001,9.917,5.248,0.34
